location_name,year,cause_name,metric_id,metric_name,val,upper,lower,evidence_strength,source_file
Andhra Pradesh,2010,Asthma,1,Number,5470.123668188653,9851.214142579767,3001.040867400543,direct,airpollutiondiseases2nd.csv
Andhra Pradesh,2010,Asthma,3,Rate,10.73941387443099,19.340744791213236,5.891899687117691,direct,airpollutiondiseases2nd.csv
Andhra Pradesh,2010,Atrial fibrillation and flutter,1,Number,1034.5366089391205,1413.3959323465251,763.1007868227622,direct,airpollutiondiseases3rd.csv
Andhra Pradesh,2010,Atrial fibrillation and flutter,3,Rate,2.0310906088393024,2.774899583016722,1.4981846251946456,direct,airpollutiondiseases3rd.csv
Andhra Pradesh,2010,Cardiovascular diseases,1,Number,132101.65874276368,147877.75980635418,117848.33484298408,direct,airpollutiondiseases3rd.csv
Andhra Pradesh,2010,Cardiovascular diseases,3,Rate,259.3532564881047,290.326245203523,231.36991392928115,direct,airpollutiondiseases3rd.csv
Andhra Pradesh,2010,Chronic obstructive pulmonary disease,1,Number,30024.670423748743,37790.88534090404,22246.93637396065,direct,airpollutiondiseases2nd.csv
Andhra Pradesh,2010,Chronic obstructive pulmonary disease,3,Rate,58.9469967560712,74.19429303168333,43.67708513566582,direct,airpollutiondiseases2nd.csv
Andhra Pradesh,2010,Chronic respiratory diseases,1,Number,37016.67356335752,45738.67041816456,28659.56018228997,direct,airpollutiondiseases2nd.csv
Andhra Pradesh,2010,Chronic respiratory diseases,3,Rate,72.67429436074214,89.79806334973011,56.26689576447796,direct,airpollutiondiseases2nd.csv
Andhra Pradesh,2010,Congenital birth defects,1,Number,3589.434028927992,4884.287455113112,2551.438553735889,indirect,airpollutiondiseases4th.csv
Andhra Pradesh,2010,Congenital birth defects,3,Rate,7.047083384202303,9.58925019688274,5.009202033785599,indirect,airpollutiondiseases4th.csv
Andhra Pradesh,2010,Hypertensive heart disease,1,Number,9385.220862528407,14351.48513769417,5777.078384578531,direct,airpollutiondiseases3rd.csv
